Number,Initial,Person,Action,Object
00,OO,Osbourne Ozzy,Biting Bat,
01,OA,of Augustine,Swinging Golden Sword,
02,OB,Otto Bismarck,Surfing (on) Ship,
03,OC,Oliver Cromwell,Stomping Crown,
04,OD,Olympia Dukakis,Sweeping glitter,
05,OE,Omar Epps,Stretching stethascope,
06,OS,Oliver Sacks,Studying brain,
07,OG,Oscar the Grouch,Munching garbage,
08,OH,O Henry,Typing on a candy bar.,
09,ON,Olivia Newton-John,Dancing on grease,
10,AO,Annie Oakley,Shooting leather dresses,
11,AA,Ansel Adams,Taking photograph,
12,AB,Alec Baldwin,Punching camera,
13,AC,Alice Cooper,Holding High snake,
14,AD,Andy Dick,Apologizing with letters,
15,AE,Albert Einstein,Writing on chalkboard,
16,AS,Arnold Schwarzenegger,Smoking smoking cigar,
17,AG,Art Garfunkel,Playing guitar,
18,AH,Alfred Hitchcock,Blocking lights,
19,AN,Alfred E Newman,,
20,BO,Brian O'Nolan,Riding bicycle,
21,BA,B.A. Baracus,Shaving mohawk,
22,BB,Bugs Bunny,Eating carrot,
23,BC,Bruce Campbell,Starting chainsawhand,
24,BD,Bob Dylan,Throwing dynamite,
25,BE,Billy Elliot,Prancing across stage,
26,BS,Bruce Springsteen,Sliding on knees,
27,BG,Bill Gates,Throwing money,
28,BH,Ben Hur,Racing a chariot,
29,BN,Bill Nye,,
30,CO,Conan O'Brian,,
31,CA,Captain America,Holding Shield looking tough,
32,CB,Charlie Brown,Kicking football,
33,CC,Cheshire Cate,Smiling in tree,
34,CD,Cameron Diaz,,
35,CE,Clint Eastwood,Pointing a 45,
36,CS,CS Lewis,,
37,CG,Che Guevara,,
38,CH,Charleton Heston,Standing on Podium with rifle raised,
39,CN,Chuck Norris,Delivering Roundhouse Kick with shockwave,
40,DO,Donny Osmond,,
41,DA,Dan Aykroyd,Zapping the Stay Puff Marshmallow Man,
42,DB,Daniel Boone,,
43,DC,Drew Carey,Choking on his necktie,
44,DD,Daniel Day-Lewis,,
45,DE,Dale Earnheart,,
46,DS,Deon Sanders,High Stepping across the endzone,
47,DG,Danny Glover,"Limping saying ""I'm too old for this shit""",
48,DH,Dustin Hoffman,Jumping up and down on a pile of toothpicks,
49,DN,Duke Nukem,,
50,EO,Ey-Ore,Building lean-too eating thistles,
51,EA,Ethan Allen,,
52,EB,Ernest Borgnine,,
53,EC,Eric Clapton,,
54,ED,Ellen Degeneres,Dancing in circles,
55,EE,Eddie the Eagle,,
56,ES,Edward Scissorhands,Clipping hedges,
57,EG,Eva Gabor,,
58,EH,Elizabeth Hurley,,
59,EN,Edward Norton,Holding a leaking bag of human fat,
60,SO,Sinead O'Conner,Ripping Pope picture,
61,SA,Steve Austin,,
62,SB,Sandra Bullock,,
63,SC,Sean Connery,,
64,SD,Sammy Davis,,
65,SE,Sam Elliott,,
66,SS,Spongebob Squarepants,,
67,SG,Seth Green,,
68,SH,Stephen Hawking,,
69,SN,Stevie Nicks,,
70,GO,Gary Oldman,Signaling for Batman,
71,GA,Gregg Allman,Shooting foot,
72,GB,George Bush,,
73,GC,George Costanza,,
74,GD,Gerard Depardieu,,
75,GE,Gloria Estefan,,
76,GS,Grandpa Simpson,,
77,GG,Lady GAGA,Making a poker face,
78,GH,George Harrison,,
79,GN,Greg Norman,,
80,HO,Santa Clause HO HO,Flying with a bag of toys,
81,HA,Hank Azaria,,
82,HB,Halle Barry,,
83,HC,Harry Carey,Eating hotdog,
84,HD,Humpty Dumpty,Falling off wall,
85,HE,HE man,Riding green lion,
86,HS,Han Solo,,
87,HG,Hermione Granger,,
88,HH,Hank Hill,Mowing lawn,
89,HN,Horatio Nelson,,
90,NO,Nick Offerman,Making a canoe,
91,NA,Neil Armstrong,Stepping off Lunar Lander,
92,NB,Napoleon Bonaparte,,
93,NC,Nicolas Cage,Riding a motorcycle with a flaming head,
94,ND,Neil Diamond,Sitting on rocks with hand over head,
95,NE,Neo,Stopping a cluster of bullets with hand,
96,NS,Nancy Sinatra,Putting on boots,
97,NG,Neil Gaiman,,
98,NH,Neil Patrick Harris,Writing girls numbers on hand,
99,NN,Nick Nolte,, 
